Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","27","Rice","t","409753.09","E","Estimated value"
"QCL","Crops and livestock products","3","Albania","5510","Production","27","Rice","t","2758.73","E","Estimated value"
"QCL","Crops and livestock products","4","Algeria","5510","Production","27","Rice","t","720.59","E","Estimated value"
"QCL","Crops and livestock products","7","Angola","5510","Production","27","Rice","t","12037.93","E","Estimated value"
"QCL","Crops and livestock products","9","Argentina","5510","Production","27","Rice","t","961914.2","E","Estimated value"
"QCL","Crops and livestock products","1","Armenia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","10","Australia","5510","Production","27","Rice","t","750735.04","E","Estimated value"
"QCL","Crops and livestock products","52","Azerbaijan","5510","Production","27","Rice","t","8225.73","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","27","Rice","t","37101907.12","E","Estimated value"
"QCL","Crops and livestock products","255","Belgium","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","23","Belize","5510","Production","27","Rice","t","11646.51","E","Estimated value"
"QCL","Crops and livestock products","53","Benin","5510","Production","27","Rice","t","115655.13","E","Estimated value"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","27","Rice","t","58594.4","E","Estimated value"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","27","Rice","t","326573.17","E","Estimated value"
"QCL","Crops and livestock products","21","Brazil","5510","Production","27","Rice","t","10708508.66","E","Estimated value"
"QCL","Crops and livestock products","26","Brunei Darussalam","5510","Production","27","Rice","t","1247.57","E","Estimated value"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","27","Rice","t","40140.66","E","Estimated value"
"QCL","Crops and livestock products","233","Burkina Faso","5510","Production","27","Rice","t","155656.13","E","Estimated value"
"QCL","Crops and livestock products","29","Burundi","5510","Production","27","Rice","t","61021.14","E","Estimated value"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","27","Rice","t","5390556.63","E","Estimated value"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","27","Rice","t","119078.8","E","Estimated value"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","27","Rice","t","19709.83","E","Estimated value"
"QCL","Crops and livestock products","39","Chad","5510","Production","27","Rice","t","135715.89","E","Estimated value"
"QCL","Crops and livestock products","40","Chile","5510","Production","27","Rice","t","136504.86","E","Estimated value"
"QCL","Crops and livestock products","351","China","5510","Production","27","Rice","t","190193326.42","E","Estimated value"
"QCL","Crops and livestock products","96","China, Hong Kong SAR","5510","Production","27","Rice","t","3.07","E","Estimated value"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","27","Rice","t","188210376.1","E","Estimated value"
"QCL","Crops and livestock products","214","China, Taiwan Province of","5510","Production","27","Rice","t","1982947.24","E","Estimated value"
"QCL","Crops and livestock products","44","Colombia","5510","Production","27","Rice","t","2175801.6","E","Estimated value"
"QCL","Crops and livestock products","45","Comoros","5510","Production","27","Rice","t","20076.15","E","Estimated value"
"QCL","Crops and livestock products","46","Congo","5510","Production","27","Rice","t","1296.13","E","Estimated value"
"QCL","Crops and livestock products","48","Costa Rica","5510","Production","27","Rice","t","205757.03","E","Estimated value"
"QCL","Crops and livestock products","107","Côte d'Ivoire","5510","Production","27","Rice","t","947427.2","E","Estimated value"
"QCL","Crops and livestock products","98","Croatia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","49","Cuba","5510","Production","27","Rice","t","486999.63","E","Estimated value"
"QCL","Crops and livestock products","50","Cyprus","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","167","Czechia","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","t","2439082.73","E","Estimated value"
"QCL","Crops and livestock products","250","Democratic Republic of the Congo","5510","Production","27","Rice","t","554039.68","E","Estimated value"
"QCL","Crops and livestock products","54","Denmark","5510","Production","27","Rice","t","0","E","Estimated value"
"QCL","Crops and livestock products","56","Dominican Republic","5510","Production","27","Rice","t","643600.84","E","Estimated value"
"QCL","Crops and livestock products","58","Ecuador","5510","Production","27","Rice","t","1187870.5","E","Estimated value"
"QCL","Crops and livestock products","59","Egypt","5510","Production","27","Rice","t","4590538.98","E","Estimated value"
"QCL","Crops and livestock products","60","El Salvador","5510","Production","27","Rice","t","43262.74","E","Estimated value"
"QCL","Crops and livestock products","63","Estonia","5510","Production","27","Rice","t","0","E","Estimated value"
