Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1981","1981","ha","145047166","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1981","1981","t","410075138","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1982","1982","ha","141574207","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1982","1982","t","421948954","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1983","1983","ha","142829951","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1983","1983","t","448016205","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1984","1984","ha","144242470","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1984","1984","t","465342803","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1985","1985","ha","143739792","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1985","1985","t","468164482","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1986","1986","ha","144470662","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1986","1986","t","468675152","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1987","1987","ha","141324296","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1987","1987","t","461439818","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1988","1988","ha","146402480","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1988","1988","t","487457812","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1989","1989","ha","148932737","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1989","1989","t","514421550","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1990","1990","ha","146960000","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1990","1990","t","518568551","E","Estimated value",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1991","1991","ha","146630312","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1991","1991","t","518512573","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1992","1992","ha","147258679","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1992","1992","t","527878058.67","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1993","1993","ha","146454544","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1993","1993","t","529599552.53","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1994","1994","ha","147252088","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1994","1994","t","538591043.17","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1995","1995","ha","149579343","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5510","Production","27","Rice","1995","1995","t","547162008.75","A","Official figure",""
"QCL","Crops and livestock products","5000","World","5312","Area harvested","27","Rice","1996","1996","ha","150280665","A","Official figure",""
