Sl No,District,Taluk,Fertilizer Dealers (Numbers)
1,Belgaum,Chikkodi,27
2,Belgaum,Athani,51
3,Belgaum,Raibag,23
4,Belgaum,Gokak,21
5,Belgaum,Hukkeri,12
6,Belgaum,Belgaum,29
7,Belgaum,Khanapur,20
8,Belgaum,Savadatti,15
9,Belgaum,Bailhongal,13
10,Belgaum,Ramadurg,10
11,Belgaum,Kittur,8
12,Belgaum,Nippani,8
13,Bagalkot,Jamakhandi,26
14,Bagalkot,Bilagi,10
15,Bagalkot,Mudhol,20
16,Bagalkot,Badami,6
17,Bagalkot,Bagalkot,12
18,Bagalkot,Hungund,8
19,Bagalkot,Guledagudda,0
20,Bagalkot,Illkal,6
21,Vijayapura,Bijapur,23
22,Vijayapura,Indi,10
23,Vijayapura,Sindagi,17
24,Vijayapura,Basvana Bagewadi,7
25,Vijayapura,Muddebihal,9
26,Vijayapura,Nidagundi,9
27,Vijayapura,Babaleshwar,12
28,Vijayapura,Chadachan,6
29,Vijayapura,Talikote,4
30,Vijayapura,Thikota,5
31,Vijayapura,Devarahipparagi,0
32,Vijayapura,Kholar,0
33,Kalaburgi,Aland,9
34,Kalaburgi,Afzalpur,9
35,Kalaburgi,Gulbarga,11
36,Kalaburgi,Chincholi,2
37,Kalaburgi,Sedam,2
38,Kalaburgi,Chittapur,2
39,Kalaburgi,Jevargi,7
40,Kalaburgi,Kalagi,2
41,Kalaburgi,Gulbarga North,6
42,Kalaburgi,Yedrami,4
43,Bidar,Basavakalyan,9
44,Bidar,Bhalki,9
45,Bidar,Aurad,5
46,Bidar,Bidar,10
47,Bidar,Humnabad,7
48,Bidar,Chitaguppa,1
49,Raichur,Lingasugur,12
50,Raichur,Devdurga,3
51,Raichur,Raichur,28
52,Raichur,Manvi,12
53,Raichur,Sindhanur,25
54,Raichur,Maski,3
55,Koppal,Yelburga,4
56,Koppal,Kushtagi,9
57,Koppal,Gangavathi,25
58,Koppal,Koppal,18
59,Koppal,Karatagi,4
60,Gadag,Naragund,8
61,Gadag,Ron,7
62,Gadag,Gadag,13
63,Gadag,Shirahatti,12
64,Gadag,Mundargi,2
65,Gadag,Gajendragad,3
66,Gadag,Lakshmeshwar,0
67,Dharwad,Dharwad,17
68,Dharwad,Navalgund,10
69,Dharwad,Hubli,25
70,Dharwad,Kalgatigi,6
71,Dharwad,Kundgol,8
72,Uttar Kannada,Karwar,0
73,Uttar Kannada,Joida,3
74,Uttar Kannada,haliyal,5
75,Uttar Kannada,Yellapur,1
76,Uttar Kannada,Mundgod,7
77,Uttar Kannada,Sirsi,4
78,Uttar Kannada,Ankola,0
79,Uttar Kannada,Kumta,2
80,Uttar Kannada,Siddapur,1
81,Uttar Kannada,Honnavar,0
82,Uttar Kannada,Bhatkal,3
83,Haveri,Shiggaon,15
84,Haveri,Savanur,5
85,Haveri,Hangal,17
86,Haveri,Haveri,18
87,Haveri,Byadagi,18
88,Haveri,Hirekerur,22
89,Haveri,Ranebennur,14
90,Bellary,hadagli,6
91,Bellary,HagariBommannaHalli,8
92,Bellary,Hospet,11
93,Bellary,Sirguppa,19
94,Bellary,Bellary,43
95,Bellary,Sandur,1
96,Bellary,Kudligi,12
97,Bellary,Kurugodu,10
98,Bellary,Harapanahalli,10
99,Chitradurga,Molakalmur,2
100,Chitradurga,Challakere,13
101,Chitradurga,Chitradurga,16
102,Chitradurga,Holalkere,10
103,Chitradurga,Hosdurga,9
